id,severity,status,error_type,reachability,invariant,location_screen,location_system,location_scene,location_file,location_line,summary,game_context,repro_seed,repro_step,repro_probe,occurrences,known_ref
ADV-0002,material,new,gate_bypass,model-only,INV-GATE-MODEL-VETO,T1,gates,CollectScene,phaser/src/render/TraversalRow.ts,147,"the move onto T6 is blocked by gate(s) G-T6-evening, and going through the story layer instead of the pill walked straight past it. Enforcement lives in TraversalRow's decision about which pill is interactive — GateEngine is consulted, but never asked to veto. No shipping input path does this today; any second one would inherit the hole.","{""day"":1,""timeBlock"":""evening"",""movesLeft"":3,""screen"":""T6"",""drawnScreen"":""T6"",""satchel"":[""herbs"",""adv_item_572307""],""arms"":[],""held"":[""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at hearth]"",""[Look at ledger]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""target"":""T6"",""blockingGates"":[""G-T6-evening""],""choose"":{""ok"":true}}",20260824,9,gates,1,
ADV-0003,material,new,model_ui_disagreement,player,INV-GATE-TWO-CLEARED-SETS-AGREE,,gates,CollectScene,phaser/src/world/Gates.ts,,"cleared-gate sets disagree — engine only: [G-T6-evening], graph only: []. Two writers hold one fact, so which door is open depends on who you ask.","{""day"":1,""timeBlock"":""evening"",""movesLeft"":3,""screen"":""T6"",""drawnScreen"":""T6"",""satchel"":[""herbs"",""adv_item_572307""],""arms"":[],""held"":[""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at hearth]"",""[Look at ledger]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""engineCleared"":[""G-T6-evening""],""graphCleared"":[]}",20260824,10,gates,110,
ADV-0006,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,HOME,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""temper"" (temper) landed on hot_loaf while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":2,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[],""arms"":[],""held"":[""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""spell"":""temper"",""receiver"":""hot_loaf"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260824,31,cast,1,
ADV-0007,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,T3,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_956957"", which no screen in the graph offers. The satchel went 1 -> 2.","{""day"":3,""timeBlock"":""afternoon"",""movesLeft"":2,""screen"":""T3"",""drawnScreen"":""T3"",""satchel"":[""ash"",""adv_item_957773""],""arms"":[],""held"":[""item_ash"",""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at well]"",""[Look at doorsteps]"",""[Go to Town Square]"",""[Go to A Neighbor's Home]"",""[Go to The Old Shrine (Town)]"",""[Wait]"",""[End the day]""],""slot"":""adv_slot_956957"",""accepted"":true}",20260824,52,inventory,2,
ADV-0008,material,new,contract_violation,model-only,INV-CAST-RECEIVER-MUST-BE-PRESENT,HOME,cast,CollectScene,phaser/src/world/CastPipeline.ts,,"""furrow"" landed on receiver ""cobbled_square"" while standing on HOME. Nothing maps a receiver to a screen (GAPS.md G2), so the pipeline cannot check presence and does not try — the screen the cast names is carried through as data, not as a constraint.","{""day"":4,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[],""arms"":[],""held"":[""item_ash"",""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""spell"":""furrow"",""receiver"":""cobbled_square"",""standingOn"":""HOME"",""clearedNow"":[]}",20260824,59,cast,1,
ADV-0009,material,new,contract_violation,model-only,INV-CAST-RECEIVER-MUST-BE-PRESENT,HOME,cast,CollectScene,phaser/src/world/CastPipeline.ts,,"""breath"" landed on receiver ""cat"" while standing on HOME. Nothing maps a receiver to a screen (GAPS.md G2), so the pipeline cannot check presence and does not try — the screen the cast names is carried through as data, not as a constraint.","{""day"":4,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[],""arms"":[],""held"":[""item_ash"",""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""spell"":""breath"",""receiver"":""cat"",""standingOn"":""HOME"",""clearedNow"":[]}",20260824,61,cast,1,
ADV-0010,material,new,contract_violation,model-only,INV-CAST-RECEIVER-MUST-BE-PRESENT,HOME,cast,CollectScene,phaser/src/world/CastPipeline.ts,,"""leap"" landed on receiver ""cold_lantern"" while standing on HOME. Nothing maps a receiver to a screen (GAPS.md G2), so the pipeline cannot check presence and does not try — the screen the cast names is carried through as data, not as a constraint.","{""day"":4,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[],""arms"":[],""held"":[""item_ash"",""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""spell"":""leap"",""receiver"":""cold_lantern"",""standingOn"":""HOME"",""clearedNow"":[]}",20260824,62,cast,1,
ADV-0012,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,T2,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""dry"" (dry) landed on rain_soaked_cat while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":4,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""T2"",""drawnScreen"":""T2"",""satchel"":[""herbs"",""ash"",""wool""],""arms"":[],""held"":[""item_berry"",""item_captured_sound"",""item_wool""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Talk to Mara (SC-T2-12)]"",""[Talk to Mara (SC-T2-22)]"",""[Look at stall goods]"",""[Look at ex shelf]"",""[Go to Town Square]"",""[Go to The Workshop]"",""[Wait]"",""[End the day]""],""spell"":""dry"",""receiver"":""rain_soaked_cat"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260824,73,cast,1,
ADV-0013,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,T2,forage,CollectScene,tools/lantern/src/lib/play.ts,506,"slot ""T2_4_afternoon_lantern-oil"" accepted item ""adv_item_900036"", which it never offered. pickup() stores whatever string it is handed, so the offered set is the only thing standing between the player and an invented item.","{""day"":4,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""T2"",""drawnScreen"":""T2"",""satchel"":[""herbs"",""ash"",""wool"",""adv_item_900036""],""arms"":[],""held"":[""item_berry"",""item_captured_sound"",""item_wool""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Talk to Mara (SC-T2-12)]"",""[Talk to Mara (SC-T2-22)]"",""[Look at stall goods]"",""[Look at ex shelf]"",""[Go to Town Square]"",""[Go to The Workshop]"",""[Wait]"",""[End the day]""],""slot"":""T2_4_afternoon_lantern-oil"",""item"":""adv_item_900036""}",20260824,74,inventory,1,
ADV-0014,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,T2,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_511922"", which no screen in the graph offers. The satchel went 4 -> 5.","{""day"":4,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""T2"",""drawnScreen"":""T2"",""satchel"":[""herbs"",""ash"",""wool"",""adv_item_900036"",""adv_item_869044""],""arms"":[],""held"":[""item_berry"",""item_captured_sound"",""item_wool""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Talk to Mara (SC-T2-12)]"",""[Talk to Mara (SC-T2-22)]"",""[Look at stall goods]"",""[Look at ex shelf]"",""[Go to Town Square]"",""[Go to The Workshop]"",""[Wait]"",""[End the day]""],""slot"":""adv_slot_511922"",""accepted"":true}",20260824,75,inventory,1,
ADV-0016,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,HOME,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_318702"", which no screen in the graph offers. The satchel went 0 -> 1.","{""day"":5,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[""adv_item_715593""],""arms"":[],""held"":[""item_ash"",""item_berry"",""item_captured_sound"",""item_wool""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to Town Square]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Workshop]"",""[Go to Forager's Clearing]"",""[Go to The Stream]"",""[Go to The Grove]""],""slot"":""adv_slot_318702"",""accepted"":true}",20260824,86,inventory,3,
ADV-0017,material,new,contract_violation,model-only,INV-CAST-RECEIVER-MUST-BE-PRESENT,T8,cast,CollectScene,phaser/src/world/CastPipeline.ts,,"""breath"" landed on receiver ""fallen_leaves"" while standing on T8. Nothing maps a receiver to a screen (GAPS.md G2), so the pipeline cannot check presence and does not try — the screen the cast names is carried through as data, not as a constraint.","{""day"":5,""timeBlock"":""evening"",""movesLeft"":1,""screen"":""T8"",""drawnScreen"":""T8"",""satchel"":[""adv_item_715593"",""adv_item_999470""],""arms"":[],""held"":[""item_captured_sound"",""item_wool""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at shrine carvings]"",""[Go to The Commons / Well]"",""[Wait]"",""[End the day]""],""spell"":""breath"",""receiver"":""fallen_leaves"",""standingOn"":""T8"",""clearedNow"":[]}",20260824,105,cast,1,
ADV-0018,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,TN,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_215764"", which no screen in the graph offers. The satchel went 0 -> 1.","{""day"":5,""timeBlock"":""night"",""movesLeft"":0,""screen"":""TN"",""drawnScreen"":""TN"",""satchel"":[""adv_item_150731""],""arms"":[],""held"":[],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Go to the results]""],""slot"":""adv_slot_215764"",""accepted"":true}",20260824,114,inventory,1,
ADV-0019,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,FS,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_444490"", which no screen in the graph offers. The satchel went 1 -> 2.","{""day"":5,""timeBlock"":""night"",""movesLeft"":0,""screen"":""FS"",""drawnScreen"":""FS"",""satchel"":[""adv_item_150731"",""adv_item_249919""],""arms"":[],""held"":[],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[],""slot"":""adv_slot_444490"",""accepted"":true}",20260824,117,inventory,2,
ADV-0021,material,new,contract_violation,model-only,INV-CAST-RECEIVER-MUST-BE-PRESENT,T7,cast,CollectScene,phaser/src/world/CastPipeline.ts,,"""scratch"" landed on receiver ""scabbed_graze"" while standing on T7. Nothing maps a receiver to a screen (GAPS.md G2), so the pipeline cannot check presence and does not try — the screen the cast names is carried through as data, not as a constraint.","{""day"":1,""timeBlock"":""morning"",""movesLeft"":1,""screen"":""T7"",""drawnScreen"":""T7"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at stage]"",""[Look at lanterns]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""spell"":""scratch"",""receiver"":""scabbed_graze"",""standingOn"":""T7"",""clearedNow"":[]}",20260824,123,cast,1,
ADV-0022,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,F1,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""leap"" (leap) landed on dog while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":1,""timeBlock"":""evening"",""movesLeft"":3,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""spell"":""leap"",""receiver"":""dog"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260824,129,cast,1,
ADV-0023,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,F2,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""seal"" (seal) landed on jam_jar while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":1,""timeBlock"":""evening"",""movesLeft"":2,""screen"":""F2"",""drawnScreen"":""F2"",""satchel"":[""river stones""],""arms"":[],""held"":[""item_captured_sound"",""item_river_stone""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at ford]"",""[Go to Forager's Clearing]"",""[Go to The Still Pool]"",""[Wait]"",""[End the day]""],""spell"":""seal"",""receiver"":""jam_jar"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260824,132,cast,1,
ADV-0027,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,HOME,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""waft"" (waft) landed on cat while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":4,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[],""arms"":[],""held"":[],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look around your home]"",""[Start the Next Day]""],""spell"":""waft"",""receiver"":""cat"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260824,161,cast,1,
ADV-0028,material,new,contract_violation,model-only,INV-CAST-REQUIRES-KNOWN-SPELL,HOME,cast,CollectScene,phaser/src/world/CastPipeline.ts,200,"""scratch"" (scratch) landed on scabbed_graze while it was NOT in the spellbook. CastPipeline.run reads Knowledge to WRITE it (step 3) and never reads it as a precondition — the spellbook is a UI filter, not a rule.","{""day"":4,""timeBlock"":""evening"",""movesLeft"":0,""screen"":""HOME"",""drawnScreen"":""HOME"",""satchel"":[""adv_item_272577""],""arms"":[],""held"":[],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look around your home]"",""[Start the Next Day]""],""spell"":""scratch"",""receiver"":""scabbed_graze"",""spellbookBefore"":[""echo"",""fetch"",""glimmer""]}",20260824,164,cast,1,
ADV-0029,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,T7,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_683971"", which no screen in the graph offers. The satchel went 1 -> 2.","{""day"":4,""timeBlock"":""morning"",""movesLeft"":1,""screen"":""T7"",""drawnScreen"":""T7"",""satchel"":[""adv_item_272577"",""adv_item_342336""],""arms"":[],""held"":[],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at stage]"",""[Look at lanterns]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""slot"":""adv_slot_683971"",""accepted"":true}",20260824,175,inventory,1,
ADV-0031,material,new,contract_violation,model-only,INV-CAST-RECEIVER-MUST-BE-PRESENT,T7,cast,CollectScene,phaser/src/world/CastPipeline.ts,,"""temper"" landed on receiver ""heated_stone"" while standing on T7. Nothing maps a receiver to a screen (GAPS.md G2), so the pipeline cannot check presence and does not try — the screen the cast names is carried through as data, not as a constraint.","{""day"":5,""timeBlock"":""night"",""movesLeft"":3,""screen"":""T7"",""drawnScreen"":""T7"",""satchel"":[],""arms"":[],""held"":[],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[stay until the lanterns are up]"",""\""Good night, Ilsa.\""""],""spell"":""temper"",""receiver"":""heated_stone"",""standingOn"":""T7"",""clearedNow"":[]}",20260824,211,cast,1,
